project,ansible,brackets,broadleaf,camel,corefx,django,elasticsearch,fabric,googleflutter,homebrew,jgroups,neutron,node,nova,npm,panda,pytorch,rails,rust,tensorflow,tomcat,vscode,wp-calypso
ansible,1.0,481.0,2284.0,10869.0,0.0,11422.0,3296.0,1424.0,0.0,0.0,16267.0,411.0,4947.0,8018.0,3183.0,1860.0,22.0,26314.0,7533.0,0.0,7706.0,0.0,0.0
brackets,0.0,1.0,2127.0,10439.0,0.0,11151.0,3011.0,1147.0,0.0,0.0,16115.0,379.0,4553.0,7608.0,3074.0,1304.0,0.0,25043.0,6259.0,0.0,7411.0,0.0,0.0
broadleaf,0.0,0.0,1.0,2952.0,0.0,6419.0,0.0,0.0,0.0,0.0,11322.0,0.0,0.0,0.0,0.0,0.0,0.0,9394.0,0.0,0.0,2042.0,0.0,0.0
camel,0.0,0.0,0.0,1.0,0.0,2919.0,0.0,0.0,0.0,0.0,6674.0,0.0,0.0,0.0,0.0,0.0,0.0,4805.0,0.0,0.0,677.0,0.0,0.0
corefx,8595.0,9976.0,7393.0,17322.0,1.0,18063.0,10724.0,8610.0,20.0,0.0,17197.0,3477.0,9184.0,15918.0,5001.0,7925.0,431.0,40069.0,25742.0,0.0,13463.0,0.0,464.0
django,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2620.0,0.0,0.0,0.0,0.0,0.0,0.0,1615.0,0.0,0.0,0.0,0.0,0.0
elasticsearch,0.0,0.0,1636.0,5955.0,0.0,7881.0,1.0,0.0,0.0,0.0,13914.0,0.0,961.0,0.0,58.0,118.0,0.0,14463.0,0.0,0.0,3694.0,0.0,0.0
fabric,0.0,0.0,1839.0,8819.0,0.0,10152.0,2100.0,1.0,0.0,0.0,15752.0,15.0,3112.0,4071.0,2257.0,297.0,0.0,21357.0,2001.0,0.0,6182.0,0.0,0.0
googleflutter,8489.0,9905.0,7348.0,17224.0,0.0,17989.0,10455.0,8491.0,1.0,0.0,17186.0,3456.0,9153.0,15845.0,4969.0,7884.0,427.0,39901.0,25470.0,0.0,13320.0,0.0,461.0
homebrew,25692.0,11451.0,11948.0,29041.0,16379.0,23427.0,28777.0,12230.0,7033.0,1.0,17917.0,8250.0,16018.0,22648.0,7517.0,11532.0,6667.0,50890.0,47731.0,19653.0,18337.0,22160.0,17496.0
jgroups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutron,0.0,0.0,1839.0,8154.0,0.0,9522.0,1644.0,0.0,0.0,0.0,15457.0,1.0,2624.0,1900.0,1563.0,242.0,0.0,20094.0,1129.0,0.0,5540.0,0.0,0.0
node,0.0,0.0,208.0,3332.0,0.0,6530.0,0.0,0.0,0.0,0.0,11516.0,0.0,1.0,0.0,0.0,0.0,0.0,10064.0,0.0,0.0,2192.0,0.0,0.0
nova,0.0,0.0,1732.0,6708.0,0.0,8473.0,595.0,0.0,0.0,0.0,14518.0,0.0,1550.0,1.0,516.0,174.0,0.0,15992.0,0.0,0.0,4373.0,0.0,0.0
npm,0.0,0.0,1529.0,5029.0,0.0,7370.0,0.0,0.0,0.0,0.0,12834.0,0.0,574.0,0.0,1.0,25.0,0.0,12417.0,0.0,0.0,2926.0,0.0,0.0
panda,0.0,0.0,1297.0,4649.0,0.0,7299.0,0.0,0.0,0.0,0.0,12426.0,0.0,378.0,0.0,0.0,1.0,0.0,11802.0,0.0,0.0,2772.0,0.0,0.0
pytorch,0.0,397.0,2252.0,10781.0,0.0,11359.0,3242.0,1316.0,0.0,0.0,16217.0,408.0,4888.0,7911.0,3171.0,1769.0,1.0,26118.0,7265.0,0.0,7597.0,0.0,0.0
rails,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rust,0.0,0.0,1741.0,6859.0,0.0,8496.0,668.0,0.0,0.0,0.0,14570.0,0.0,1625.0,24.0,563.0,190.0,0.0,16303.0,1.0,0.0,4448.0,0.0,0.0
tensorflow,13909.0,10827.0,9004.0,21037.0,3407.0,20402.0,16748.0,11048.0,1851.0,0.0,17430.0,5509.0,10932.0,18344.0,6200.0,9080.0,718.0,44616.0,33991.0,1.0,15826.0,0.0,575.0
tomcat,0.0,0.0,0.0,0.0,0.0,1484.0,0.0,0.0,0.0,0.0,4018.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.0,0.0,0.0,1.0,0.0,0.0
vscode,13997.0,10829.0,9045.0,21114.0,3463.0,20462.0,16860.0,11103.0,1916.0,0.0,17433.0,5548.0,10972.0,18381.0,6210.0,9093.0,730.0,44694.0,34097.0,35.0,15893.0,1.0,578.0
wp-calypso,5821.0,7595.0,6156.0,15498.0,0.0,16245.0,7403.0,5592.0,0.0,0.0,16969.0,2273.0,8539.0,13842.0,4347.0,6635.0,329.0,36367.0,20820.0,0.0,11830.0,0.0,1.0
